k,m,run_id,d_max,points_json,subset,witness_json,delta
2,8,1,10,"[[-2.8860632183908046, 0.921408045977012], [-2.573850574712644, 1.5915229885057478], [-2.1321839080459775, 2.170258620689655], [-1.3630747126436784, 2.5357758620689665], [1.7818965517241363, -3.053591954022988], [2.38347701149425, -2.8099137931034477], [2.6804597701149397, -2.170258620689655], [3.0688218390804582, -1.6981321839080454], [-0.708189655172415, 2.695689655172414], [1.1727011494252855, -3.236350574712643]]",__POINTS__,,
2,8,1,10,,1,"[-2.8861430128058543, -2.8861796193989298, -2.886788352191341, 0.9219130681435745, 0.9215379209312561, 0.9204348760793802, 0.9207320705045833, 0.9217706359314539]",2.3531242285496483e-06
2,8,1,10,,2,"[-2.574300635785875, -2.5744163801076776, -2.574544807530095, -2.5745314478543593, -2.5747051483536496, -2.5747040689449805, 1.59094395211296, 1.5907970995060943]",3.789184651147316e-06
2,8,1,10,,3,"[-2.1320917327627336, -2.131982368217443, -2.1322818407479813, -2.1313306069034312, -2.133053080176272, -2.131201353460011, -2.1315201696922976, 2.1699871944770304]",3.021922736849374e-06
2,8,1,10,,4,"[-1.3633868147738208, -1.3625334615397942, -1.3624452009815518, -1.3623930463173692, -1.3630965970021367, -1.362340685549926, 2.5365596073342904, 2.536122058219614]",2.524697525420912e-06
2,8,1,10,,5,"[1.7818965517264431, 1.7818965517258056, 1.7818965517263128, 1.7818965517258079, -3.0535919540269267, -3.0535919540268504, -3.053591954026833, -3.053591954026965]",7.666749165345895e-23
2,8,1,10,,6,"[2.3842821865382264, 2.383139166274486, 2.3829247543219103, 2.3828755389306835, 2.382744060745446, -2.8092791103116594, -2.809277326951801, -2.8099979457954474]",2.781413357210785e-06
2,8,1,10,,7,"[2.6794733951361662, -2.1704697473903543, -2.170937555665944, -2.170937555669349, -2.1704697474122407, -2.1709301699542722, -2.170663312752106, -2.1711563530738713]",3.404667498059761e-06
2,8,1,10,,8,"[3.0682830839160937, 3.0683400308117506, 3.0684033220133053, 3.0681650130687412, 3.0683005101388665, 3.068764188481152, 3.06799814776215, -1.6982951483548827]",2.109105535822048e-06
2,8,1,10,,9,"[-0.7082239423037586, -0.7082239578611679, -0.7082239472895683, -0.7082239462184686, -0.7081896551725694, -0.7082239443570001, -0.7082239437769471, 2.6957239835473157]",8.234000873447234e-09
2,8,1,10,,10,"[1.173483870265077, 1.1730014187847735, -3.23599249463082, -3.23599249463082, -3.23599249463082, -3.23599249463082, -3.235992498637952, -3.2359251405131637]",1.524911714638388e-06
2,8,1,10,,"1,2","[-2.7299568915672654, -2.7299568913456898, -2.7299568921521544, -2.7299568913409917, -2.7299568921525537, -2.7300053347516218, -2.729956892467163, 1.256488071861062]",0.28284779793194287
2,8,1,10,,"1,3","[-2.5094220955226194, -2.5094749484398693, -2.5090349861962915, -2.5096830280222915, -2.5098312654889456, -2.509182949067518, -0.6057017374968674, 1.5462056812472056]",3.5735151916840144
2,8,1,10,,"1,4","[-2.124568882022691, -2.1245688828703755, -2.124568883479942, -2.124568883369983, -2.124568883200953, -0.22083322447023518, -0.22083323137851885, 1.7285918630650696]",6.160344084423377
2,8,1,10,,"1,5","[-0.0659957895148409, -2.718567979529032, -2.718567982766568, -2.718567978349166, -2.7185679792605058, -2.718567977959583, -2.7185679779448675, -0.5588019228941746]",10.312129786057996
2,8,1,10,,"1,6","[0.4363724185990748, -3.102996242310017, -3.103401443884076, -3.103154873147011, -3.1021304222889876, -3.1026811350043246, -0.4717676579324665, -0.47159456801493377]",15.155006372582859
2,8,1,10,,"1,7","[-0.10280177336209281, -2.5281607733017877, -2.5281607731340556, -2.528160770832843, -2.528160772226808, -2.528160771743051, -2.528160771531599, -0.6244251712048906]",10.904709584390712
2,8,1,10,,"1,8","[0.1232430346721261, -2.1698039001183065, -2.169804031709865, -2.1698039004498484, -2.169803901858663, -2.1698039016689994, -0.21349783490659124, -0.2134978839011286]",14.197083816169089
2,8,1,10,,"1,9","[-1.7971143051556573, 0.10885905414432155, 0.10467605325993702, 0.10583256789081155, 0.10813891293954257, 0.10695227540983397, 0.10702109151700526, 1.810209940115385]",5.956199911727772
2,8,1,10,,"1,10","[-0.8571416909900968, 1.0478220977449602, 1.0476126618909367, 1.0470014684030169, 1.0469111575637262, 1.0470599264252443, 1.0473669626328084, -1.1578335156488344]",8.534854936024583
2,8,1,10,,"2,3","[-2.3529494888710736, -2.3528565011463676, -2.352763309835039, -2.3538602380120537, -2.3530101797353415, -2.3526410255939383, -2.353308496785197, 1.8810957508974728]",0.42510633474086323
2,8,1,10,,"2,4","[-1.9684388981636092, 0.11429593168614764, 2.0636652897781524, 2.063664805843265, 2.0636650017847606, 2.0636653103497387, 2.063695451917836, 2.063734889127737]",3.8863266909437306
2,8,1,10,,"2,5","[-0.3959530714264441, 1.686761072380418, 1.6861107190982083, 1.6867097701149414, 1.6867097701149414, 1.6867097701149414, 1.6867097701149434, -0.73103448275862]",10.191769967117414
2,8,1,10,,"2,6","[0.43637241961230866, -2.7439993410313024, -2.7439993412584056, -2.7439993411124544, -2.7439993415016546, -2.7439993414286787, -2.7439993413934904, 0.006269703846676611]",11.748174070200937
2,8,1,10,,"2,7","[0.05308535740625945, -2.3726230713987397, -2.3719367335061325, -2.3718316613585113, -2.372320973121779, -2.37183473619053, -2.3723209731222337, -0.2897320379856731]",10.684024974518504
2,8,1,10,,"2,8","[0.25600596871787257, -2.14839894610103, -2.148398944635513, -2.1483989423554744, -2.148398942560327, -2.148398941420308, -0.028087795259943336, -0.0804213538349342]",14.331670495552318
2,8,1,10,,"2,9","[-1.4941082589604577, 0.2650689421926897, 2.040932854233087, 2.040932852742372, 2.0409328534370856, 2.040932853156313, 2.0409328534370785, 2.0409328536081612]",4.137139165648314
