k,m,run_id,d_max,points_json,subset,witness_json,delta
4,2,1,5,"[[1.763385213033276, -3.39627075158224, -4.967773033760715, -4.969109703972863], [1.0976694116586372, 1.411218294806329, -0.38005620468353096, 0.6323893743626008], [-3.770635613713834, 3.2233538901515635, 2.3196542296545672, 4.406639316680544], [2.1507985494306614, -2.827754223863198, -3.2536325650715714, -3.148390145264124], [-0.9692742957200795, 4.826866522167888, -4.8600451885071525, -1.0003898264560263]]",__POINTS__,,
4,2,1,5,,1,"[1.763385213033288, -4.444384496438603]",1.647814527314039
4,2,1,5,,2,"[1.254443853820269, 0.12616658364957656]",0.561679476326611
4,2,1,5,,3,"[-3.7705982825738835, 3.3165491488646666]",2.190781411555975
4,2,1,5,,4,"[2.1507612090860837, -3.0765922996341653]",0.09841857557094963
4,2,1,5,,5,"[-8.129085629156101, -2.134416206325364]",108.43742473516625
4,2,1,5,,"1,2","[6.587825323127493, -14.44365329119608]",332.7775077134971
4,2,1,5,,"1,3","[-19.495428890883833, -4.947520130822478]",454.34442803124455
4,2,1,5,,"1,4","[1.9029027266533334, -3.944167470391647]",2.417930882627396
4,2,1,5,,"1,5","[2.7378617388972346, -8.393370162798325]",85.24734270992471
4,2,1,5,,"2,3","[-0.6990990363502165, 2.7924087077372755]",12.4492879517253
4,2,1,5,,"2,4","[1.5115362329907274, -1.6250887304727637]",6.827662820322704
4,2,1,5,,"2,5","[-7.444704047069464, -1.8738908178226334]",96.51146130157431
4,2,1,5,,"3,4","[-8.157745134720622, 9.188907207233424]",310.93410233558234
4,2,1,5,,"3,5","[-8.213256171865744, -2.0699119290844057]",108.9695475611945
4,2,1,5,,"4,5","[-7.837966438769226, -2.3575160268858015]",106.8987280957905
4,2,1,5,,"1,2,3","[-16.64126722392593, 15.920139564032509]",1086.7923644663492
4,2,1,5,,"1,2,4","[0.8831867391339977, -2.614792013535733]",12.464789843208054
4,2,1,5,,"1,2,5","[4.350254473509997, -10.857519556522238]",173.61108986291126
4,2,1,5,,"1,3,4","[-11.481240677064319, 12.512402729767153]",588.8153913759629
4,2,1,5,,"1,3,5","[-10.390869370622909, -2.7834840183268788]",157.64949020549994
4,2,1,5,,"1,4,5","[2.3290271199649735, -3.2500602561142227]",24.771062433353404
4,2,1,5,,"2,3,4","[-1.6126681780825458, 0.4589270279091164]",31.3456173641651
4,2,1,5,,"2,3,5","[-4.640944396211615, 0.03566224863306279]",61.47815492994832
4,2,1,5,,"2,4,5","[1.9716936104588378, -1.4465358071293772]",28.65239711375661
4,2,1,5,,"3,4,5","[-8.361256811534117, -2.1568662996160333]",113.13941429679466
4,2,1,5,,"1,2,3,4","[-2.3882771758254533, -0.4077259338482883]",45.712372419292166
4,2,1,5,,"1,2,3,5","[-5.1506917539243195, -0.9306953284501048]",67.22470328508768
4,2,1,5,,"1,2,4,5","[1.9287961132239042, -2.93021750748159]",24.246093947298505
4,2,1,5,,"1,3,4,5","[-8.773459769337054, -2.399046662726024]",125.22313727114553
4,2,1,5,,"2,3,4,5","[0.9932550995983206, 0.2728354491929984]",46.51566441272307
4,2,1,5,,"1,2,3,4,5","[-1.4599323661801977, -0.3474200653748379]",47.80414382390407
