k,m,run_id,run_index,is_best_run,base_seed,run_seed,T,sampler,sampler_params_json,d_max,points_json,subset,witness_json,delta,history_json
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,"[[0.10895534495567856, -0.371859126292406, 0.2683330680951268, 0.3363104989393177, -0.6976166618942362, -0.46561032115015855], [-0.2486612979489313, -0.013210736735682663, -0.6707477593892335, 0.6914699257381366, 0.611577178028716, 0.051919884789606595], [0.27229779398194787, -0.5004893397451605, 0.2147765102427505, -0.558494971748913, 0.5116476988812539, -0.029079024086681286], [-0.44777720625775785, 0.8039394819404871, -0.10161811942790186, -0.28166707869689506, -0.23156195639193342, 0.35004490836282953], [0.6391731071084885, -0.06451190257366683, -0.4756586404288494, -0.4667840156784404, 0.3683362438010634, 0.4207969327878772]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.10895534495567856, -0.371859126292406, 0.2683330680951268, 0.3363104989393177, -0.6976166618942362, -0.46561032115015855]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.2486612979489313, -0.013210736735682663, -0.6707477593892335, 0.6914699257381366, 0.611577178028716, 0.051919884789606595]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.27229779398194787, -0.5004893397451605, 0.2147765102427505, -0.558494971748913, 0.5116476988812539, -0.029079024086681286]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.44777720625775785, 0.8039394819404871, -0.10161811942790186, -0.28166707869689506, -0.23156195639193342, 0.35004490836282953]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.18357102808291403, 0.19161619949548447, 0.9525403150549544, -0.1807611521114494, -0.22783012963294919, -0.36194158676399757]}, {""attempt"": 2, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.6391731071084885, -0.06451190257366683, -0.4756586404288494, -0.4667840156784404, 0.3683362438010634, 0.4207969327878772]}], ""d"": 5, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.6270297960621289, 0.21873770654541483, 0.10993901111816022, 0.20604397607775604, 0.8210425827530318, 0.21066720712425374]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.035675823102249066, 0.15262969142817198, 0.3332648295083512, -0.7692505039615664, -0.16875837225782656, -0.2483155174168764]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.10697707921433669, 0.5812428093457302, -0.336640713800959, 0.3764728600527448, -0.654310605015858, -0.13020545634399242]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.35654428970834656, 0.43257269835823814, 0.48251902279218933, -0.21209688975855345, -0.2812054108016193, 0.5218265917308492]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.5627408514717721, -0.499924628886576, -0.4055960723623392, 0.21931148379415902, 0.06282796838185811, 0.304592366452733]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.1315532683134635, 0.5191031999178539, -0.2566899687092631, 0.37902354279383377, -0.5492537568188361, -0.3012552867048248]}], ""d"": 6, ""success"": false}]"
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,1,"[0.08588263140822723, -0.5820414601102012]",0.33297598292367087,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,2,"[-0.3104340098730067, 0.45147661193039096]",0.4648581002642438,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,3,"[-0.12869891718959123, 0.20222261346101533]",0.750970829458597,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,4,"[-0.45076455641767915, 0.10546731273571097]",0.8540366371903444,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,5,"[0.6388283676359958, -0.043524304231741966]",0.7515527881572351,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2","[0.6447311701427586, -0.8259725597059662]",3.73550143579146,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,3","[0.2077711520903165, -0.10169479591804255]",0.8534833302076119,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,4","[-0.2909261310303057, -0.05261817506293061]",1.0073163291987912,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,5","[0.3808905407263783, -0.19157833409696762]",0.9278033517723493,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,3","[-0.14330062086589573, 0.24155769452576847]",0.74710424806088,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,4","[-0.4358710823464405, 0.11372883416923381]",0.8543157493868399,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,5","[-0.08286311753725394, 0.42112410362164854]",0.8261433208097263,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"3,4","[-0.287754416262449, 0.07859687670720455]",0.8838795205455173,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"3,5","[0.3322282330924202, -0.06778971935191805]",0.8487021774344178,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"4,5","[0.03414551459464204, 0.824343898096487]",1.238561611240819,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,3","[0.07069248401862527, -0.47563276422328615]",1.614992904897364,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,4","[-0.6575186299011034, -0.03431276400042908]",1.5240295164571833,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,5","[0.6425896400266365, -0.8145855570831245]",3.703440657788633,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,3,4","[-0.21443480278299024, -0.02314599568849191]",0.9942187526707297,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,3,5","[0.29996708012807205, -0.131368143072848]",0.9051609850602493,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,4,5","[0.5609076959218295, -0.727187199035717]",3.072410270767002,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,3,4","[-0.3005426700561939, 0.11902804387862415]",0.8763051372419827,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,3,5","[-0.09253904408736402, 0.3943550921450694]",0.8244042681368873,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,4,5","[-0.017585935484602033, 0.5755988616964309]",1.033429122451233,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"3,4,5","[-0.07429756584114214, 0.10481101082549346]",0.9935651371581146,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,3,4","[-0.20982770886255891, 0.023637247908008464]",1.0450878081978918,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,3,5","[0.4692633543637093, -0.6638143977988062]",2.6297269425011183,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,4,5","[0.6412655714441153, -0.807545183329564]",3.6837706847764053,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,3,4,5","[0.17711567971651138, -0.06601415743970657]",1.031684242506195,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,3,4,5","[-0.17760958219429618, 0.17540093635201376]",0.9498233687028493,
6,2,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,3,4,5","[-0.11659164847485709, 0.047863406103468134]",1.0672387195008444,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,"[[0.09530679944282279, 0.2646486332427238, -0.22849381336794247, -0.35459567635774425, -0.7772841516853675, 0.3791608882159029], [0.10600848923148072, -0.40376788014173476, 0.631985384451732, 0.48600891763843, -0.06277296068891568, -0.2864232740345784], [-0.7732105180919556, 0.02571878622187784, -0.5965591337521616, 0.5669085342532717, -0.3480290425044704, -0.34269292710066407], [-0.2519775473528929, -0.5443970950523696, 0.12715381510158758, -0.721458077061975, 0.09179507806762953, 0.3408636888685851]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.09530679944282279, 0.2646486332427238, -0.22849381336794247, -0.35459567635774425, -0.7772841516853675, 0.3791608882159029]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.10600848923148072, -0.40376788014173476, 0.631985384451732, 0.48600891763843, -0.06277296068891568, -0.2864232740345784]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.7732105180919556, 0.02571878622187784, -0.5965591337521616, 0.5669085342532717, -0.3480290425044704, -0.34269292710066407]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.2519775473528929, -0.5443970950523696, 0.12715381510158758, -0.721458077061975, 0.09179507806762953, 0.3408636888685851]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.002430732053467532, -0.5374061406378162, 0.14552923510795862, 0.1038569627578368, -0.30714713725130943, 0.501387407860425]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.5773562606161949, -0.6226591693924378, 0.00892904900636975, 0.11616340211419841, 0.15161109362063233, -0.11598762188147607]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.404389504105383, -0.43069454639290183, -0.580525916000431, 0.6724028987104219, 0.08520535349271098, 0.2261422598383687]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.38032662752218716, -0.3544296168642428, 0.4260781793724225, -0.4104935823466703, 0.22350168327797068, -0.05950336147087122]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.37804897547618443, -0.5043942676304934, 0.09113455380491757, 0.026204192049938277, 0.4954942538962753, -0.43799380361445833]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.09437027252606754, 0.1701442981542724, 0.8170607161235094, 0.2926873595785216, 0.023389300497071268, 0.9674794168635652]}], ""d"": 5, ""success"": false}]"
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,1,"[0.11293601107138124, -0.23848350794476703]",0.7087000722840149,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,2,"[0.20499018120432597, -0.17459961161552215]",0.6666899177572077,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,3,"[-0.7732159947459013, -0.1389189126815646]",0.8199834240653362,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,4,"[-0.34706672857401677, 0.21569172610532658]",0.44405363144338583,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2","[0.18024136498418114, -0.24522608803709547]",0.699525022431112,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3","[-0.19247834367427136, -0.40451756474692707]",1.1318228001425503,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,4","[-0.2000517094111245, 0.3798605202076183]",0.6610736301109307,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3","[-0.14711065157065722, -0.5738496611890603]",1.2275000288154418,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,4","[-0.14945203836090412, 0.19272037478353674]",0.7037640273007946,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"3,4","[-0.6394094821860007, -0.12055397120266223]",0.8395746717468274,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3","[-0.14171803455753232, -0.4007844736815525]",1.1420076485571815,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,4","[-0.15750091380672693, 0.1952848693605988]",0.7039499694310813,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3,4","[-0.3612815646357427, 0.0]",0.9347599664015949,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3,4","[-0.3948501435157075, 0.029537937906353468]",0.9306011138309691,
6,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3,4","[-0.36423502015059367, 0.00620223265284888]",0.9348996694491535,
