k,m,run_id,run_index,is_best_run,base_seed,run_seed,T,sampler,sampler_params_json,d_max,points_json,subset,witness_json,delta,history_json
3,3,1,1,1,42,42,2,uniform,{},6,"[[2.7395604855596334, -0.6112156024794766, 3.585979199113824], [1.9736802905936388, -4.058226521123505, 4.756223516367559], [2.6113970199035297, 2.8606430527695377, -3.7188636732445413], [-0.49614062104432843, -1.2920197576741876, 4.267649888486018], [-2.727612782152231, 0.5458478701583482, -4.3618274389582465], [-1.4547403187013161, 4.706980243949033, 3.9312112132219763]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [2.7395604855596334, -0.6112156024794766, 3.585979199113824]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [1.9736802905936388, -4.058226521123505, 4.756223516367559]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [2.6113970199035297, 2.8606430527695377, -3.7188636732445413]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.49614062104432843, -1.2920197576741876, 4.267649888486018]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [1.4386512008066452, 3.227616132708299, -0.5658580117266885]}, {""attempt"": 2, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-2.727612782152231, 0.5458478701583482, -4.3618274389582465]}], ""d"": 5, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [3.27631171992582, 1.3166439912206487, 2.5808774008537387]}, {""attempt"": 2, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-1.4547403187013161, 4.706980243949033, 3.9312112132219763]}], ""d"": 6, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [2.783834970737619, -3.0536129214803243, -0.3327899627296578]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-4.561962342127712, -3.4571050793245215, 1.8304895324245463]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [2.447621559078171, 4.675097324342101, -1.7417464186184803]}], ""d"": 7, ""success"": false}]"
3,3,1,1,1,42,42,2,uniform,{},6,,1,"[2.73997528782499, -0.6109067863179065, 3.585856672473178]",2.82441118659746e-07,
3,3,1,1,1,42,42,2,uniform,{},6,,2,"[1.9729533461924684, -4.058108250333836, 4.756161074193487]",5.46335167184541e-07,
3,3,1,1,1,42,42,2,uniform,{},6,,3,"[2.6104560250502447, 2.8608798002638567, -3.7198294325623737]",1.8742117499555213e-06,
3,3,1,1,1,42,42,2,uniform,{},6,,4,"[-0.49803324063605237, -1.2895685330852498, 4.268326533048101]",1.0048358767787618e-05,
3,3,1,1,1,42,42,2,uniform,{},6,,5,"[-2.727065451814831, 0.5457149618353316, -4.3611522474750535]",7.731186595421204e-07,
3,3,1,1,1,42,42,2,uniform,{},6,,6,"[-1.4547773401760653, 4.707017246692489, 3.9318491782760296]",4.09739202809146e-07,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2","[2.35621554039957, -2.3345939648872593, 4.171210770477292]",3.4594823191156565,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3","[2.681280887084291, 2.794620214618756, -0.044664531765341825]",13.508982103420308,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,4","[1.1217098908796967, -0.9516177020467599, 3.9268143254482735]",2.8494827214393776,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,5","[0.10904134399148942, -0.03297796325313019, -0.4588654693139076]",23.614758113282715,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,6","[0.7738198597795654, 3.8168830685343744, 3.6470432895853695]",5.8395048596158325,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,3","[2.4814490084337493, -3.8887742501431632, 0.5244025134183342]",18.194852145951558,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,4","[0.7387694861953489, -2.6752684352497913, 4.511115828326683]",3.4976555408398657,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,5","[-0.11126920416555489, -4.2244748145719155, 0.03700648930404005]",26.645662239297366,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,6","[-0.6942807815794421, -3.9636129324169795, 4.461175058818073]",7.214022366128348,
3,3,1,1,1,42,42,2,uniform,{},6,,"3,4","[0.7468330331738946, -3.0596217986112655, 0.04212711316357043]",22.52444320600615,
3,3,1,1,1,42,42,2,uniform,{},6,,"3,5","[-0.05762287479777252, 1.7009408075601624, -4.036075722607207]",8.569199980115881,
3,3,1,1,1,42,42,2,uniform,{},6,,"3,6","[0.36411331811256126, 3.8454380994663433, -0.02255842745338681]",19.68277779039709,
3,3,1,1,1,42,42,2,uniform,{},6,,"4,5","[-1.708700531734479, -2.035094523359699, -0.03756762845201094]",20.55736026559061,
3,3,1,1,1,42,42,2,uniform,{},6,,"4,6","[-0.9930961389455505, 4.398672676530104, 4.1667792797509495]",0.36366196729972433,
3,3,1,1,1,42,42,2,uniform,{},6,,"5,6","[-2.0852279169980577, 2.6365007007225847, -0.2212822453035454]",21.92760207362245,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,3","[2.5252877488825187, -3.604616044539691, 0.5409509547714061]",18.27895117212425,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,4","[1.4292762276331368, -2.108089369699897, 4.2317445838923575]",4.374488843740815,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,5","[18.519918416276955, -19.063706745788366, -3.2512258598251282]",733.9767527954741,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,6","[6.981029087158926, 3.0502714627759775, 5.37242693471966]",75.98399221035565,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3,4","[1.6162976428486777, -2.468692986446035, 0.3836654636876322]",20.932290334913763,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3,5","[0.20279095191330967, 0.11847626264918912, -0.501305253405365]",23.673544080676223,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3,6","[0.5845487624542458, 3.7978327415241084, 0.10609604305368939]",19.616755202737338,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,4,5","[0.005973880542558398, -0.03268394798220226, -0.3879241516719364]",23.59910244558843,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,4,6","[0.6232611954031085, -1.042273115264932, 4.0773661417253795]",4.905994667375645,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,5,6","[-11.675774569176522, 12.891831891265022, 0.42875683117561303]",321.9200951787801,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,3,4","[0.8393925321929231, -3.350869156703161, 0.19060417396156626]",22.644812383940643,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,3,5","[0.15467852494044718, -4.186374763706672, -0.08609774044838489]",26.773264731552402,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,3,6","[0.7218604171132297, -14.537656568360223, 3.5135600614028157]",177.49897257546203,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,4,5","[-0.11665448041063221, -4.215518896410093, 0.03909526319914358]",26.64553943792967,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,4,6","[0.23585057355796518, -2.7385473082830494, 4.462140337567161]",4.848090268296785,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,5,6","[-4.273616280610694, -7.677476158408593, 1.5281556995831418]",62.548104304900974,
3,3,1,1,1,42,42,2,uniform,{},6,,"3,4,5","[-0.07478339219431572, 0.7044965573081512, -0.3061850993767854]",23.51090801804465,
3,3,1,1,1,42,42,2,uniform,{},6,,"3,4,6","[0.015485733343025505, 3.5988206367036546, -0.030182650755572457]",20.890029240598327,
3,3,1,1,1,42,42,2,uniform,{},6,,"3,5,6","[-1.00266771847617, 2.9045659079005492, -0.52194596859948]",23.28367596067544,
3,3,1,1,1,42,42,2,uniform,{},6,,"4,5,6","[-1.5191689633984558, 2.3962114166003836, -0.06352754674831375]",23.359563680457676,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,3,4","[1.6676502139687008, -2.5648391013590612, 0.4406982906745053]",20.94761839341673,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,3,5","[0.7513607603409785, -3.5331213222709392, -0.4094253411495047]",28.45372862799687,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,3,6","[2.6884588363553474, 2.688461480949591, 0.011575552317946238]",40.09679373931637,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,4,5","[-0.33317162815172113, -3.0804393125830676, 0.21418627375218965]",26.90773591596912,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,4,6","[0.8470173017119941, -1.972243020840126, 4.2508203168339795]",5.876129048068998,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,2,5,6","[-13.753778489242942, 15.454061375384162, 4.1070110535802895]",456.2219003864121,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3,4,5","[0.11706153534822597, 0.29278013364520206, -0.41695767837016756]",23.718212679912824,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3,4,6","[0.3212559592197055, 3.5407939220521003, 0.15492692362098856]",20.713605489815624,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,3,5,6","[-0.4493395168576823, 2.036138581987186, -0.17113067024237866]",24.973434917838556,
3,3,1,1,1,42,42,2,uniform,{},6,,"1,4,5,6","[-0.5574043328217281, 1.7331341222092018, -0.00199586939091537]",25.127584813887303,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,3,4,5","[0.14069258695482154, -4.021032129083285, -0.08495254546475837]",26.79912679178379,
3,3,1,1,1,42,42,2,uniform,{},6,,"2,3,4,6","[-2.2444222000259635, 5.6339365260773775, -0.036918029461078056]",44.8268607423658,
