k, m, run_id, run_index, is_best_run, base_seed, run_seed, T, sampler, sampler_params_json, d_max, points_json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , subset           , witness_json                                                                           , delta                 , history_json
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8, "[[2.7395604855596334, -0.6112156024794766, 3.585979199113824, 1.9736802905936388], [-4.058226521123505, 4.756223516367559, 2.6113970199035297, 2.8606430527695377], [-3.7188636732445413, -0.49614062104432843, -1.2920197576741876, 4.267649888486018], [1.4386512008066452, 3.227616132708299, -0.5658580117266885, -2.727612782152231], [0.5458478701583482, -4.3618274389582465, 3.27631171992582, 1.3166439912206487], [2.5808774008537387, -1.4547403187013161, 4.706980243949033, 3.9312112132219763], [-3.4571050793245215, 1.8304895324245463, 2.447621559078171, 4.675097324342101], [-0.6284808112766926, 3.3267819605783746, 2.0026510200224914, -1.8763335861795891]]", __POINTS__       ,                                                                                        ,                       , "[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [2.7395604855596334, -0.6112156024794766, 3.585979199113824, 1.9736802905936388]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-4.058226521123505, 4.756223516367559, 2.6113970199035297, 2.8606430527695377]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-3.7188636732445413, -0.49614062104432843, -1.2920197576741876, 4.267649888486018]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [1.4386512008066452, 3.227616132708299, -0.5658580117266885, -2.727612782152231]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.5458478701583482, -4.3618274389582465, 3.27631171992582, 1.3166439912206487]}], ""d"": 5, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [2.5808774008537387, -1.4547403187013161, 4.706980243949033, 3.9312112132219763]}], ""d"": 6, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [2.783834970737619, -3.0536129214803243, -0.3327899627296578, -4.561962342127712]}, {""attempt"": 2, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-3.4571050793245215, 1.8304895324245463, 2.447621559078171, 4.675097324342101]}], ""d"": 7, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-1.7417464186184803, -1.2954029396513111, -0.30444188724192056, -3.1052864091571433]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-3.7007849466452836, -0.24295073774066278, -2.7309065094911587, 1.698139946825103]}, {""attempt"": 3, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.6284808112766926, 3.3267819605783746, 2.0026510200224914, -1.8763335861795891]}], ""d"": 8, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [3.3225980139520104, 3.047643574968019, -1.1252162096982552, -2.116718960697559]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [1.8249550397497547, -3.602475163906902, -3.0009179752489166, -4.926377302489945]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [2.869243775021384, 1.6485085659203218, 2.0516537862633513, 2.8072903102196793]}], ""d"": 9, ""success"": false}]"
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 1                , "[2.7389950170105157, -0.612188330259251, 3.586121019465348, 1.974561451054462]"       , 2.062510783410582e-06 , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 2                , "[-4.059099699592622, 4.755594896322878, 2.610864487956407, 2.8602297456101797]"       , 1.6120168821874906e-06, 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 3                , "[-3.7182671833393393, -0.4970014660942551, -1.292614967994242, 4.267250413964661]"    , 1.610709625303195e-06 , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 4                , "[1.4379518627708363, 3.2274553618746866, -0.5666143294946867, -2.7273639337253686]"   , 1.1488630550112182e-06, 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 5                , "[0.5451919268512465, -4.361463038364972, 3.2770755458036898, 1.3157014312160653]"     , 2.0348987484539016e-06, 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 6                , "[2.580204822083944, -1.455061390653561, 4.7061699368596255, 3.9306824650272385]"      , 1.4916216326794512e-06, 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 7                , "[-3.457404186393776, 1.8298666131885706, 2.4477265458041786, 4.675485149190409]"      , 6.389237390292122e-07 , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 8                , "[-0.6281628621896553, 3.326573164359147, 2.002372430383541, -1.876205960189441]"      , 2.385880634033885e-07 , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2"            , "[-0.6579606849538827, 4.174862732335657, 2.2945868197396697, 2.42001229735261]"       , 12.194312295025087    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,3"            , "[-0.43175833604680275, -0.554221042554325, -0.9429954581167913, 3.263589583601979]"   , 11.938390369122164    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,4"            , "[2.1063243806164533, 0.3865863085122184, 3.4115409966545305, -0.3969563662737389]"    , 7.046943474863061     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,5"            , "[1.642248266310565, -2.4862054923409396, 3.4314447730612745, 1.6447392593559447]"     , 4.851764284463133     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,6"            , "[2.6597592247534645, -1.0328640124396513, 4.146450697922054, 2.952474208181501]"      , 1.4563214569315441    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,7"            , "[-0.3810964516487288, 2.735518940316536, 2.20328465727263, 3.2824020410616264]"       , 12.2802079824043      , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,8"            , "[1.013052771772525, -0.6197418095434377, 2.96216265346029, -0.0004523197013331873]"   , 7.2672492141795075    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "2,3"            , "[-3.9064503603486394, -2.0820296498150386, 4.533371160144869, 3.186213086297448]"     , 4.414462606738875     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "2,4"            , "[-0.8103870900619349, 6.598725501835595, -1.592317154733716, 1.3315178330615407]"     , 33.95271133643418     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "2,5"            , "[-1.7191394417398467, -4.2124701733779775, 4.004358553002797, 2.2526870031230164]"    , 6.558703837991849     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "2,6"            , "[-0.6498804687014035, 4.789625317685727, 4.789625317685727, 3.059415089485467]"       , 11.859284697705581    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "2,7"            , "[-3.758624890932431, 3.2931098737980844, 2.53045367074803, 3.767875458696028]"        , 3.0600851320217437    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "2,8"            , "[-2.34331418302831, 4.0417726163421825, 2.3072527888314953, 0.4920724826179128]"      , 9.153994674980993     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "3,4"            , "[-1.7355896099484853, -1.1602374458435807, -2.724736295578855, -0.8921979175608987]"  , 33.05110666317274     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "3,5"            , "[-1.5188630069953433, 0.040994120685465596, -2.875864417362978, 2.9256858882332715]"  , 9.437948716334208     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "3,6"            , "[-0.5691053305926568, -1.3724237591328612, 4.484733156054166, 4.101407763993582]"     , 10.00752786038576     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "3,7"            , "[-3.574381320851388, 0.14448476202322943, 3.2630520970556436, 4.492547838582761]"     , 3.554617090267459     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "3,8"            , "[-2.0057134241879515, -0.7929218540269943, 3.7513965287759703, 1.2685383012730718]"   , 12.533249437485257    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "4,5"            , "[1.8267697387365458, -0.07457405017276005, -3.448931466615857, 0.3507457375653136]"   , 12.350959002507581    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "4,6"            , "[0.20598950104255045, 7.357698583846002, 7.3576985783656434, -0.3904666587657126]"    , 41.12763110596264     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "4,7"            , "[-4.129113796580313, 1.3491505746508408, 9.976815575235756, -2.397843539254238]"      , 80.0246308857746      , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "4,8"            , "[0.28632979583154516, 2.825288162205512, -1.2956458463829865, -2.2549842982592785]"   , 2.245680957291774     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "5,6"            , "[1.5628656345269083, -2.908697516080018, 3.99195378470878, 2.6246059276590517]"       , 5.368819697863827     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "5,7"            , "[-1.4515193284372734, -3.9117500096390274, 2.5232629737610273, 2.989261223817861]"    , 7.556776239289842     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "5,8"            , "[-0.05928338880845605, -2.438034858301817, 2.8606429447130677, -0.3286965365625063]"  , 6.947087719090583     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "6,7"            , "[-0.411738428773461, 3.26514998260656, 4.6945356861931185, 4.221560734730992]"        , 12.206934669917757    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "6,8"            , "[-0.8235659384113625, -1.2334175550205317, 6.065403068793509, 1.4848017277407588]"    , 19.46945073312117     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "7,8"            , "[-1.857664297348498, 2.2367525553572705, 2.187195846923524, 1.403806022474557]"       , 13.492428792076016    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2,3"          , "[-0.6580334006191331, 4.08901978683301, 4.089019637442747, 2.643045704287198]"        , 12.499986165951183    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2,4"          , "[-0.2391674089029559, 6.073140643861828, -1.2890301448621442, 1.8647284705468048]"    , 32.52466114604844     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2,5"          , "[-0.9804758612901332, 3.379404943772879, 3.379567569201334, 1.8550513400133068]"      , 14.07437508771291     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2,6"          , "[-0.5929763248729044, 4.3297605926912075, 4.1883948055902485, 2.6975770144302187]"    , 12.54627651698473     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2,7"          , "[-0.7198979883731624, 3.4226662616094616, 2.274264896251865, 2.9469378202106262]"     , 13.04391723354015     , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,2,8"          , "[-0.7856607012625513, 4.043923735482392, 2.256127781788943, 1.625791941311725]"       , 12.868131595747888    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,3,4"          , "[-2.053786659061126, -0.33170267567282447, 18.546598379036855, -5.437497813866965]"   , 301.799992119315      , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,3,5"          , "[-0.5881331233754257, -1.4031826072610885, 3.7231358330340205, 2.771754776178593]"    , 12.356491319107212    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,3,6"          , "[-0.39702467628405036, -0.5952564496999, -0.9855949131265599, 3.362569208807263]"     , 11.957505493363037    , 
4, 4,      1,         1,           1,        42,       42, 2, uniform, {}                 ,     8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "1,3,7"          , "[-0.570560028932805, 3.108641959375576, 4.032292250054524, 3.218956257827122]"        , 12.936309153946082    , 
