row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.743232131;-1.852545261,,,,,
POINT,1,,-1.211559296;-0.3744138181,,,,,
POINT,2,,0.4331147671;0.2981547415,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,1.961242199;-0.9464409947,-0.03702870011,,,1
SUBSET_WITNESS,,{0},,0.743232131;-1.852545261,1,0,4.721683472,1
SUBSET_WITNESS,,{1},,-1.211559296;-0.3744138181,1,0,3.157301188,1
SUBSET_WITNESS,,{2},,0.4331147671;0.2981547415,1,0,3.157301188,1
SUBSET_WITNESS,,"{0,1}",,-0.5996487737;-1.690951228,2.520705223,2.107705146,5.023142934,1
SUBSET_WITNESS,,"{0,2}",,0.4059336483;-0.7635910511,2.24494791,1.299591564,2.767742336,1
SUBSET_WITNESS,,"{1,2}",,-0.3892222643;-0.0381295383,1,0.7893252969,4.574557185,1
SUBSET_WITNESS,,"{0,1,2}",,-0.2313692421;-0.8164290786,2.691326141,,,1
