row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,1.144179821;-0.01874752901;0.9085834622,,,,,
POINT,1,,-1.746054888;0.7257527709;0.3347829282,,,,,
POINT,2,,-0.127823025;0.7278134227;-0.6889092922,,,,,
POINT,3,,-0.04753898829;0.06926837564;0.5488001108,,,,,
POINT,4,,1.226807594;-1.517144561;0.2448732108,,,,,
POINT,5,,-0.1508627087;0.3927039802;0.467833221,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,2.024097919;-1.396885991;1.875538111,0.3994495273,,,1
SUBSET_WITNESS,,{0},,1.144179821;-0.01874752901;0.9085834622,1,0,1.557384654,1
SUBSET_WITNESS,,{1},,-1.746054888;0.7257527709;0.3347829282,1,0,2.673262032,1
SUBSET_WITNESS,,{2},,-0.127823025;0.7278134227;-0.6889092922,1,0,1.450882512,1
SUBSET_WITNESS,,{3},,0.008947146125;-0.686753273;1.431293011,1.462059259,1.353553044,2.008210242,1
SUBSET_WITNESS,,{4},,1.226807594;-1.517144561;0.2448732108,1,0,2.692532117,1
SUBSET_WITNESS,,{5},,-0.7089366317;0.7728065252;0.551166296,0.5363355279,0.4628688674,0.932418402,1
SUBSET_WITNESS,,"{0,1}",,-0.6241768599;3.590639353;0.6150872707,9.73796463,9.600136168,10.07055714,1
SUBSET_WITNESS,,"{0,2}",,0.7047186494;1.563509107;-0.2134865075,2.018152952,1.665927406,2.295562573,1
SUBSET_WITNESS,,"{0,3}",,0.6389333606;-0.3671119511;1.166654706,1.379593849,1.043416396,1.689449549,1
SUBSET_WITNESS,,"{0,4}",,1.185493708;-0.7679460645;0.576728344,1,0.6731331483,2.212363367,1
SUBSET_WITNESS,,"{0,5}",,1.164919972;1.431864142;0.4158447981,2.928610325,2.813840592,3.344401168,1
SUBSET_WITNESS,,"{1,2}",,-1.190953612;0.9147865176;-0.5948749781,2.131100655,1.208135065,2.483707964,1
SUBSET_WITNESS,,"{1,3}",,-1.132519484;-1.057980418;1.635336041,3.780793428,3.628432751,4.431198299,1
SUBSET_WITNESS,,"{1,4}",,-0.4272732437;-2.309098959;0.3980961442,3.629431248,3.38665266,4.739278891,1
SUBSET_WITNESS,,"{1,5}",,-0.8890122771;1.100083709;0.4569051266,1.509872079,1.045370316,1.779102347,1
SUBSET_WITNESS,,"{2,3}",,0.09764965624;-0.471080631;-0.425444603,1.264147997,1.262209559,1.605827503,1
SUBSET_WITNESS,,"{2,4}",,0.5998119116;-1.472036481;-0.3699932396,2.227712393,1.260832565,3.485388324,1
SUBSET_WITNESS,,"{2,5}",,-0.695286274;0.7912655473;-0.2397584617,1.221449614,0.9559342861,1.43850437,1
SUBSET_WITNESS,,"{3,4}",,0.7371484637;-0.6720342636;0.06043009833,1.183203936,1.244312126,1.310057199,1
SUBSET_WITNESS,,"{3,5}",,-0.09920084476;0.2309861779;0.5083166361,1,0.03046050726,1.611092088,1
SUBSET_WITNESS,,"{4,5}",,-0.005526201334;-1.421247363;0.5121414661,1.92983675,1.651228412,2.086320219,1
SUBSET_WITNESS,,"{0,1,2}",,-0.6329814196;3.640746832;0.2433015406,10.10987949,9.902418509,10.48936088,1
SUBSET_WITNESS,,"{0,1,3}",,-0.5724387765;3.150010109;0.6885473132,7.632072926,7.518816121,7.82917805,1
SUBSET_WITNESS,,"{0,1,4}",,0.5174300075;-2.541908264;1.349012733,7.375843048,7.173861653,7.777774215,1
SUBSET_WITNESS,,"{0,1,5}",,-1.078817606;4.019564629;1.069064498,14.55578613,14.41864438,14.69851944,1
SUBSET_WITNESS,,"{0,2,3}",,0.8913982511;-0.08181087673;-0.2874332666,1.680651188,1.603714405,1.881899819,1
SUBSET_WITNESS,,"{0,2,4}",,1.176653981;-0.9208133221;-0.2058464289,2.330852747,2.190247204,2.906435996,1
SUBSET_WITNESS,,"{0,2,5}",,0.9553558826;1.241709113;0.008713654242,2.258397102,2.155320004,2.457922446,1
SUBSET_WITNESS,,"{0,3,4}",,1.146146297;-0.188479051;-0.08412028104,2.005383968,1.880094978,2.215661396,1
SUBSET_WITNESS,,"{0,3,5}",,0.3152593672;0.1477416009;0.6417389512,1,0.7860337961,2.050291317,1
SUBSET_WITNESS,,"{0,4,5}",,0.730645895;-1.565303206;0.7282320857,3.15623951,2.958086148,3.309591796,1
SUBSET_WITNESS,,"{1,2,3}",,-1.080193043;-1.444270968;-0.8855529428,5.531467915,5.414544463,6.002154648,1
SUBSET_WITNESS,,"{1,2,4}",,-0.6295152307;2.85671854;-1.221110225,8.498668671,8.339287616,9.153005749,1
SUBSET_WITNESS,,"{1,2,5}",,-1.044669509;1.006210923;-0.0110954009,1.908067584,1.404654011,2.185613632,1
