row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.08040626347;-0.0770278275;-0.3815871477;0.8905127645,,,,,
POINT,1,,-0.6468420625;0.7904821634;0.9826084375;-0.0687225461,,,,,
POINT,2,,0.4492000639;2.00653863;0.9604629278;0.7686234117,,,,,
POINT,3,,-2.332205296;0.08543393016;0.9459978342;-0.3637045026,,,,,
POINT,4,,0.6132558584;0.1317311078;0.1513945013;1.554608226,,,,,
POINT,5,,2.447031498;-2.002326727;-0.2854054868;1.824364066,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-0.309592247;0.08737220615;0.4137149155;-0.7935987115,1,,,1
SUBSET_WITNESS,,{0},,-0.08040626347;-0.0770278275;-0.3815871477;0.8905127645,1,0,1.249839604,1
SUBSET_WITNESS,,{1},,-0.6468420625;0.7904821634;0.9826084375;-0.0687225461,1,0,1.654518066,1
SUBSET_WITNESS,,{2},,0.4492000639;2.00653863;0.9604629278;0.7686234117,1,0,1.391410803,1
SUBSET_WITNESS,,{3},,-2.332205296;0.08543393016;0.9459978342;-0.3637045026,1,0,3.425896987,1
SUBSET_WITNESS,,{4},,0.6132558584;0.1317311078;0.1513945013;1.554608226,1,0,1.249839604,1
SUBSET_WITNESS,,{5},,2.447031498;-2.002326727;-0.2854054868;1.824364066,1,0,8.180498138,1
SUBSET_WITNESS,,"{0,1}",,-0.3636241555;0.3567271829;0.3005106449;0.4108951092,1,0.9636462927,2.335233141,1
SUBSET_WITNESS,,"{0,2}",,-0.01938806288;1.791831732;0.7021175623;0.7647429705,1.203722835,1.001920443,1.859144527,1
SUBSET_WITNESS,,"{0,3}",,-1.725048661;0.06937725842;-0.05925511941;1.172259927,3.488949776,2.909562379,3.742517438,1
SUBSET_WITNESS,,"{0,4}",,0.2664248049;0.02735164016;-0.1150963232;1.222560525,1,0.3124599457,1.419168971,1
SUBSET_WITNESS,,"{0,5}",,0.4638124108;-2.084167719;-0.9453479648;1.35794282,4.716824532,4.592928986,5.886825934,1
SUBSET_WITNESS,,"{1,2}",,0.1003525853;1.665748954;0.8142069578;-0.1557879299,1.680116773,1.360331222,1.997962221,1
SUBSET_WITNESS,,"{1,3}",,-1.489523649;0.4379580617;0.9643031359;-0.2162135243,1,0.856474269,4.152764574,1
SUBSET_WITNESS,,"{1,4}",,0.4663820267;0.771351099;0.3168777525;0.2927321494,1.67302227,1.693152929,1.86391896,1
SUBSET_WITNESS,,"{1,5}",,1.175638676;-1.945397735;0.7846111059;0.2590965033,5.513259411,5.214678732,6.002227467,1
SUBSET_WITNESS,,"{2,3}",,-3.233121634;3.167039156;0.4898591638;2.424580574,18.46690559,18.29053624,18.79622716,1
SUBSET_WITNESS,,"{2,4}",,0.7050740123;1.253875852;0.2838073075;1.178177476,1.847025275,1.120845072,2.913784452,1
SUBSET_WITNESS,,"{2,5}",,1.610624909;-0.877404213;2.677954197;0.8228353262,4.353538513,4.047165126,4.868923664,1
SUBSET_WITNESS,,"{3,4}",,-2.758488894;1.549135447;0.5672033429;3.17872858,15.57520008,15.2448324,15.75310723,1
SUBSET_WITNESS,,"{3,5}",,0.1143552214;-3.54968214;0.07037010044;0.8823580742,9.172255516,9.02485723,10.31571845,1
SUBSET_WITNESS,,"{4,5}",,1.478309035;-0.8847668767;0.016265193;1.396677613,3.107211351,2.46128422,3.496525228,1
SUBSET_WITNESS,,"{0,1,2}",,-0.08651938289;1.490413547;0.9316030741;0.1643865556,1.701582551,0.9760210395,2.918894402,1
SUBSET_WITNESS,,"{0,1,3}",,-1.379050136;-0.07403696328;0.8487839103;0.1073186621,2.95918107,2.396206123,5.406467786,1
SUBSET_WITNESS,,"{0,1,4}",,0.1746417433;0.7928619981;0.1097420827;0.4813299179,1.719332695,1.378785436,2.093145613,1
SUBSET_WITNESS,,"{0,1,5}",,0.661229074;-1.995223641;-0.8617371321;0.534924984,5.29932785,5.183951674,6.592427825,1
SUBSET_WITNESS,,"{0,2,3}",,-1.36570406;2.938365459;-1.709311366;1.802380681,14.33073139,13.51203758,15.14771038,1
SUBSET_WITNESS,,"{0,2,4}",,0.3281599581;0.09907087684;0.3513426483;1.216825128,1.975876331,1.037070971,3.329012435,1
SUBSET_WITNESS,,"{0,2,5}",,1.406423092;-1.14342916;1.47614336;0.4187741876,4.852359295,4.653715849,5.226797633,1
SUBSET_WITNESS,,"{0,3,4}",,-1.984142423;-0.08427967876;-0.2834667861;1.906526446,7.186834335,7.106089044,7.639554311,1
SUBSET_WITNESS,,"{0,3,5}",,-0.0986462757;-3.216192722;-0.2155410349;1.357622027,9.173768997,8.993205637,9.584844083,1
SUBSET_WITNESS,,"{0,4,5}",,1.211776376;-1.082567215;-0.1912868619;1.387500167,3.913287878,2.964056294,4.286634982,1
SUBSET_WITNESS,,"{1,2,3}",,-1.19303;1.786321282;0.7055199146;-0.05085867643,4.238892555,3.794036057,4.86470728,1
SUBSET_WITNESS,,"{1,2,4}",,0.6108750701;1.471063137;0.09489773214;0.2905907333,2.540298462,2.338127771,3.266009957,1
SUBSET_WITNESS,,"{1,2,5}",,1.484939814;-1.515454412;1.423138261;0.07881356031,6.45535326,5.96288608,6.747580171,1
SUBSET_WITNESS,,"{1,3,4}",,-2.319774151;1.466760993;0.4887259305;2.532667637,10.67734814,10.52897491,10.85217065,1
SUBSET_WITNESS,,"{1,3,5}",,0.2893638611;-3.364805937;0.4157664776;0.521323204,9.222696304,9.011631101,9.532251135,1
SUBSET_WITNESS,,"{1,4,5}",,1.689453483;-2.502007723;0.8684363961;0.8738803864,10.12739086,9.80631605,10.57576675,1
SUBSET_WITNESS,,"{2,3,4}",,-1.477421761;3.549551725;-1.084256649;1.91817224,16.3646431,16.13040628,16.52200878,1
SUBSET_WITNESS,,"{2,3,5}",,-1.20098877;3.751092196;-1.58194077;1.976382852,18.0628643,17.76319623,18.40982243,1
SUBSET_WITNESS,,"{2,4,5}",,1.981801033;-0.2827527523;0.4173343778;1.28635323,4.247964382,3.956673011,4.685376861,1
SUBSET_WITNESS,,"{3,4,5}",,-1.485667109;-3.340908766;0.383585155;4.122602463,23.24461555,23.11321101,23.41998631,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.8327585459;1.095768213;1.155523539;-0.06154152751,4.189671993,3.249052739,5.312466264,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.2848451138;0.6122547388;0.9014240503;0.9116185308,2.561988592,2.013468444,6.06861048,1
SUBSET_WITNESS,,"{0,1,2,5}",,1.511563897;-1.286459804;1.480707645;0.246333763,6.026761532,5.891602047,6.296878517,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.9123027921;0.04149070755;-0.196546644;0.4702719748,4.115559101,3.632320966,5.126321927,1
SUBSET_WITNESS,,"{0,1,3,5}",,0.1725931466;-2.7160182;-0.2100510746;0.7262020707,8.233420372,7.744845238,9.120758712,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.7617865205;-1.292881608;-0.5115636587;0.7842699289,4.785306931,4.476306617,5.580855219,1
SUBSET_WITNESS,,"{0,2,3,4}",,-1.423366666;-0.6580061913;-0.999776721;2.559332848,13.03309155,12.90055215,13.16626203,1
SUBSET_WITNESS,,"{0,2,3,5}",,-1.277827501;3.434623241;-1.712126136;2.141795874,18.13612556,17.25922358,18.27559215,1
SUBSET_WITNESS,,"{0,2,4,5}",,1.517562389;-0.5592511892;0.1586202681;1.259991288,4.382247925,3.462055415,6.933990143,1
SUBSET_WITNESS,,"{0,3,4,5}",,-0.614540875;-2.693279505;-0.4338913262;2.121862173,11.39547634,10.91114295,11.7846003,1
SUBSET_WITNESS,,"{1,2,3,4}",,-1.764846683;2.204976797;0.6833362579;1.385979652,9.025330544,8.804613121,9.424433455,1
SUBSET_WITNESS,,"{1,2,3,5}",,2.091466904;-2.20932126;3.312382698;-4.673548222,49.0475502,49.00930643,49.42855072,1
SUBSET_WITNESS,,"{1,2,4,5}",,1.578190923;-1.582575083;1.064888477;0.3959679902,6.607189178,6.439212557,6.734970849,1
SUBSET_WITNESS,,"{1,3,4,5}",,2.046667337;-4.872934341;0.7756458521;0.9179386497,27.99914551,27.89638108,28.86510119,1
SUBSET_WITNESS,,"{2,3,4,5}",,-1.297821164;3.806454659;-1.234097362;2.082470655,18.03053665,17.91244736,18.24936932,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.7223365307;-0.1090110317;0.3978585303;0.6156086922,4.360579014,3.795306738,13.64232252,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,0.9240483642;-2.428034544;1.321463108;-0.8190037012,12.73788166,12.48841131,13.06620375,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.7971342206;-1.203767538;0.2781493366;1.105347872,5.112347603,4.194436431,13.28678377,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.07260996848;-2.243914366;-0.06566850841;0.7483174801,7.938745022,7.089433896,9.288314012,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-1.316988587;-0.9948869348;-1.46529448;2.907904625,17.9991703,18.05161262,18.2258338,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-1.735396266;4.669747829;4.669760227;1.75244534,35.98941422,35.88241637,36.63023508,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.06230728328;-1.454871297;0.6910304427;1.045369506,8.562904358,,,1
