row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.8769232035;0.4854832292;-1.128308177;-0.422187537;0.9815223813,,,,,
POINT,1,,2.546993971;1.162117124;0.05750095472;1.811917663;0.2039902508,,,,,
POINT,2,,0.2216963023;-1.55073452;-0.7269083858;0.02838105522;0.2451931089,,,,,
POINT,3,,-0.6985490918;-1.275249362;-2.385561943;-0.108441785;1.884005427,,,,,
POINT,4,,-0.9425587058;0.2482784986;1.757719874;-0.9302640557;-0.4459030628,,,,,
POINT,5,,-0.8689075112;-2.354042292;-0.6624843478;-0.6742227674;0.8110001683,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-0.8522649407;0.09882412106;0.4790572524;0.05635690317;0.9005059004,1,,,1
SUBSET_WITNESS,,{0},,0.8769232035;0.4854832292;-1.128308177;-0.422187537;0.9815223813,1,0,1.515397444,1
SUBSET_WITNESS,,{1},,2.546993971;1.162117124;0.05750095472;1.811917663;0.2039902508,1,0,5.983997613,1
SUBSET_WITNESS,,{2},,0.2216963023;-1.55073452;-0.7269083858;0.02838105522;0.2451931089,1,0,1.515397444,1
SUBSET_WITNESS,,{3},,-0.6985490918;-1.275249362;-2.385561943;-0.108441785;1.884005427,1,0,1.97354063,1
SUBSET_WITNESS,,{4},,-0.9425587058;0.2482784986;1.757719874;-0.9302640557;-0.4459030628,1,0,4.844461385,1
SUBSET_WITNESS,,{5},,-0.8689075112;-2.354042292;-0.6624843478;-0.6742227674;0.8110001683,1,0,1.97354063,1
SUBSET_WITNESS,,"{0,1}",,1.729072094;0.9584351778;-0.4193734825;1.929410696;0.5579681396,2.731660843,2.530327997,7.324422732,1
SUBSET_WITNESS,,"{0,2}",,0.623257637;-1.356515527;-1.236907721;-0.2532445192;0.6062451601,1.874337196,0.668743372,3.770725731,1
SUBSET_WITNESS,,"{0,3}",,0.3976068199;-1.208077788;-1.527196646;-0.3505013287;1.93994844,2.349144697,2.004583174,3.306341779,1
SUBSET_WITNESS,,"{0,4}",,0.3215993643;0.5820270777;1.655252337;-0.6899336576;0.7142103314,3.224117279,3.123604815,3.627586108,1
SUBSET_WITNESS,,"{0,5}",,0.1832775772;-0.6443811655;-2.14073801;-0.9247400761;1.002587914,2.388452053,2.084674783,2.620894396,1
SUBSET_WITNESS,,"{1,2}",,1.704749107;-0.7879577875;-0.4003514349;0.5258346796;-0.8853584528,4.916485786,4.768945187,5.981115923,1
SUBSET_WITNESS,,"{1,3}",,2.754902601;-1.730803251;-3.668235064;2.496207476;1.208166242,21.54501534,21.13595378,21.68419511,1
