row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.5278585553;1.314680457;1.282667398;-0.1507697403;-2.078015327;2.274311781,,,,,
POINT,1,,-1.052484632;0.1759852767;0.2578348219;1.381075621;0.8361876607;0.4157545865,,,,,
POINT,2,,-1.469465852;0.4232303202;-0.5296105146;0.06295644492;2.139395237;-1.296939373,,,,,
POINT,3,,0.8297618032;1.092576027;-0.301759094;-1.452207804;-1.253288746;-1.402062058,,,,,
POINT,4,,-0.3636321723;0.6737821698;0.5551757216;-0.3850886822;-0.5564640164;0.5363519192,,,,,
POINT,5,,1.170324206;-0.7136344314;-1.005352378;-0.9133891463;0.0928382948;-0.1319404542,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.4167268276;-0.8760865331;1.330038309;2.157838821;-0.2317391038;-0.7056955695,1,,,1
SUBSET_WITNESS,,{0},,0.5278585553;1.314680457;1.282667398;-0.1507697403;-2.078015327;2.274311781,1,0,7.125278782,1
SUBSET_WITNESS,,{1},,-1.052484632;0.1759852767;0.2578348219;1.381075621;0.8361876607;0.4157545865,1,0,2.612965872,1
SUBSET_WITNESS,,{2},,-1.469465852;0.4232303202;-0.5296105146;0.06295644492;2.139395237;-1.296939373,1,0,5.977565773,1
SUBSET_WITNESS,,{3},,0.8297618032;1.092576027;-0.301759094;-1.452207804;-1.253288746;-1.402062058,1,0,4.032147069,1
SUBSET_WITNESS,,{4},,-0.3636321723;0.6737821698;0.5551757216;-0.3850886822;-0.5564640164;0.5363519192,1,0,2.612965872,1
SUBSET_WITNESS,,{5},,1.170324206;-0.7136344314;-1.005352378;-0.9133891463;0.0928382948;-0.1319404542,1,0,4.032147069,1
SUBSET_WITNESS,,"{0,1}",,-0.4552412331;0.1069976985;2.427258015;1.547017932;-0.5023781657;2.121404886,5.850544453,5.736198966,6.817388494,1
SUBSET_WITNESS,,"{0,2}",,-0.5898112655;1.226894021;-0.3235479295;1.854541302;-2.673255444;0.8946903348,9.158262253,8.390143067,10.28755847,1
SUBSET_WITNESS,,"{0,3}",,0.9258053303;0.0602905713;1.504532218;0.5982625484;-2.204999924;0.2665951848,5.96446991,5.837924499,6.14527243,1
