row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,1.523226142;1.407090187;1.873728991;-0.3902359605;-0.1524358392;1.011040688;1.047465563,,,,,
POINT,1,,0.005657067057;0.847856164;0.4188984632;0.1114716157;0.9457524419;0.9835709929;-1.054163694,,,,,
POINT,2,,-0.2288548052;0.5452874899;-1.737391591;-1.469070673;-0.3609492481;-0.4958871007;-0.5346575379,,,,,
POINT,3,,-0.06025508419;1.831058502;-0.2564509809;0.3799594641;-0.1966085434;0.09539895505;-0.0592518039,,,,,
POINT,4,,1.036138892;-0.3958864212;-1.118918777;0.9137127995;0.6935735345;-0.4967884421;2.87817049,,,,,
POINT,5,,-0.9847256541;-0.006509693339;-1.838833809;-0.2899936736;1.166112423;1.460404158;2.088438034,,,,,
POINT,6,,0.0834409669;-0.1535537541;0.564481616;0.4080652893;0.1489920616;-0.3613801003;-0.2054797113,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-0.5839892626;0.9071754813;1.420516014;-0.4547338188;2.091527939;0.2253099531;1.287290931,1,,,1
SUBSET_WITNESS,,{0},,1.523226142;1.407090187;1.873728991;-0.3902359605;-0.1524358392;1.011040688;1.047465563,1,0,5.055499988,1
SUBSET_WITNESS,,{1},,0.005657067057;0.847856164;0.4188984632;0.1114716157;0.9457524419;0.9835709929;-1.054163694,1,0,2.385627768,1
SUBSET_WITNESS,,{2},,-0.2288548052;0.5452874899;-1.737391591;-1.469070673;-0.3609492481;-0.4958871007;-0.5346575379,1,0,2.404232416,1
SUBSET_WITNESS,,{3},,-0.06025508419;1.831058502;-0.2564509809;0.3799594641;-0.1966085434;0.09539895505;-0.0592518039,1,0,2.267558309,1
SUBSET_WITNESS,,{4},,1.036138892;-0.3958864212;-1.118918777;0.9137127995;0.6935735345;-0.4967884421;2.87817049,1,0,7.745824627,1
SUBSET_WITNESS,,{5},,-0.9847256541;-0.006509693339;-1.838833809;-0.2899936736;1.166112423;1.460404158;2.088438034,1,0,10.18218111,1
SUBSET_WITNESS,,{6},,0.0834409669;-0.1535537541;0.564481616;0.4080652893;0.1489920616;-0.3613801003;-0.2054797113,1,0,2.267558309,1
SUBSET_WITNESS,,"{0,1}",,1.31436038;0.9044412971;1.153794289;0.09486865252;-0.09967494011;1.328665614;-0.1670532227,3.241558313,3.011760296,4.324326774,1
SUBSET_WITNESS,,"{0,2}",,0.885045886;1.219878435;0.201521188;-1.779079318;-0.3457727134;-0.2411715537;0.4936017692,3.833405256,3.733264169,4.454104317,1
SUBSET_WITNESS,,"{0,3}",,0.7480044961;1.640733719;2.226017475;-0.3810018003;-0.1673541963;0.5674825907;0.4273697138,2.531634569,1.621084168,6.307806365,1
SUBSET_WITNESS,,"{0,4}",,1.480194807;-0.9137901068;-0.8240150213;-1.106468201;1.123306036;0.4680954814;1.927929401,3.244432926,2.617125709,8.685573077,1
SUBSET_WITNESS,,"{0,5}",,-0.07664295286;1.011697292;-0.009741150774;-1.07347548;1.135736704;1.282604337;1.555164099,4.740074158,4.780703004,6.551441548,1
SUBSET_WITNESS,,"{0,6}",,1.012505293;0.8768902421;0.6519392133;0.2142153382;-0.5812628865;-0.4692323506;0.9090176821,3.228621006,3.276541242,4.318208834,1
SUBSET_WITNESS,,"{1,2}",,-0.3403687775;0.7325190306;-1.490886688;-0.1700803041;-0.2183143348;0.7692199349;-1.190945029,3.39347291,3.082796231,3.886909148,1
SUBSET_WITNESS,,"{1,3}",,0.4180119038;1.552365422;0.295692116;-0.01353059616;-0.2892453671;0.791893959;-0.6882234812,1.540588737,1.541181893,2.398823779,1
SUBSET_WITNESS,,"{1,4}",,0.5625332594;0.6970114112;-0.3110240698;1.30798614;1.449001551;-1.597548366;1.091118574,6.406193733,6.130555368,6.892755281,1
SUBSET_WITNESS,,"{1,5}",,-0.640688777;0.6834073663;0.1871094853;0.2020756006;1.183187723;1.434277654;1.010216594,5.486740589,5.027918928,6.160987578,1
SUBSET_WITNESS,,"{1,6}",,0.04454901814;0.3471512198;0.4916900396;0.2597684562;0.5473722219;0.3110954463;-0.6298217177,1,1.063272016,2.28358874,1
SUBSET_WITNESS,,"{2,3}",,-0.1397838295;1.208004117;-1.292621136;0.2435875684;-0.1427614391;-0.3333122134;-0.4387640357,2.248759508,1.76552597,2.853923782,1
SUBSET_WITNESS,,"{2,4}",,0.7625946403;0.04102613032;-1.720324397;-1.537019253;0.8273746967;-0.4129783511;0.8569986224,5.593637466,4.919732372,6.387052227,1
SUBSET_WITNESS,,"{2,5}",,-0.6849677563;0.1154587641;-1.784468412;-0.4705987871;-0.6752301455;-0.8807448149;0.7827294469,3.453844547,2.948799623,4.33309217,1
SUBSET_WITNESS,,"{2,6}",,0.2254259288;0.120328635;-1.304592729;-0.3956031501;-0.2757635415;0.1733574122;-0.06988093257,2.222382545,1.37058848,4.006144502,1
SUBSET_WITNESS,,"{3,4}",,0.1166313142;1.377024174;-0.6983575225;0.7458229065;0.6544395089;-0.2589054704;1.684072614,4.316733837,3.810505275,4.648560644,1
SUBSET_WITNESS,,"{3,5}",,-0.5302933455;0.9152789116;-1.064886093;-0.08528959751;0.1458398253;0.6665356159;1.173504591,4.44819212,3.760419913,4.780922689,1
SUBSET_WITNESS,,"{3,6}",,0.1192194298;1.112395167;0.1459689885;0.02172848023;0.08027818054;-0.1785197407;-0.181771636,1.898836493,0.8425171207,3.025990215,1
SUBSET_WITNESS,,"{4,5}",,-0.04028168321;-0.2709109783;-1.444194317;0.3464225233;1.00693953;0.5596940517;2.423713684,3.854579449,2.951223797,9.89085417,1
SUBSET_WITNESS,,"{4,6}",,0.4568692148;-0.1033042297;-0.5290094018;0.6042276025;0.3356303573;-0.3944473565;1.30553031,3.931539059,3.476726047,4.447536723,1
SUBSET_WITNESS,,"{5,6}",,-0.4434238076;-0.105701834;-1.088511229;-0.3981835544;0.7126179338;0.3871434033;1.084699273,4.231441975,3.517812981,4.720070095,1
SUBSET_WITNESS,,"{0,1,2}",,1.414196134;0.9773949981;0.6694610715;-1.49629581;-0.2741106153;1.012382388;-0.5719028115,5.404433727,5.507315476,5.99506224,1
SUBSET_WITNESS,,"{0,1,3}",,0.9121882319;1.625787973;-0.2888537049;0.3628317714;0.04713528231;1.250334859;-0.418716222,3.092182636,3.005229189,4.335363165,1
SUBSET_WITNESS,,"{0,1,4}",,1.184356809;0.9429521561;-0.3744369447;-0.3440464437;1.558899403;1.089482546;1.000145197,6.87781477,6.940475797,7.14999267,1
