row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.07112981379;-1.141799331;1.220163822;-0.09239700437;0.9224060178;-0.1975810081;0.126836881;-0.4852672219,,,,,
POINT,1,,-1.298505068;0.04706152156;-0.2962546945;0.7566388845;-0.8736351728;0.5356538892;0.07505309582;0.6771604419,,,,,
POINT,2,,-1.01206255;0.677311182;-0.8557996154;0.1579591334;1.07329905;1.123198509;0.3136541843;-0.4392554462,,,,,
POINT,3,,0.2778226137;2.306327581;-1.096644402;2.555978775;-1.300537944;-1.572256684;-1.842156649;-0.04786003381,,,,,
POINT,4,,0.3826903701;-0.5951969028;1.379149795;-2.398565531;-0.3979498446;-1.568975806;-0.3652310669;-0.2434276789,,,,,
POINT,5,,-2.03186965;0.193508774;0.09171002358;1.326399803;-0.6733620167;-0.5280039907;1.210007906;-0.6853591204,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-1.449548721;-1.057550788;-0.04580736533;0.2042432427;1.782589197;-0.1603376269;0.4098215699;0.9525334239,1,,,1
SUBSET_WITNESS,,{0},,0.07112981379;-1.141799331;1.220163822;-0.09239700437;0.9224060178;-0.1975810081;0.126836881;-0.4852672219,1,0,2.491753521,1
SUBSET_WITNESS,,{1},,-1.298505068;0.04706152156;-0.2962546945;0.7566388845;-0.8736351728;0.5356538892;0.07505309582;0.6771604419,1,0,3.317629135,1
SUBSET_WITNESS,,{2},,-1.01206255;0.677311182;-0.8557996154;0.1579591334;1.07329905;1.123198509;0.3136541843;-0.4392554462,1,0,2.491753521,1
SUBSET_WITNESS,,{3},,0.2778226137;2.306327581;-1.096644402;2.555978775;-1.300537944;-1.572256684;-1.842156649;-0.04786003381,1,0,7.581692685,1
SUBSET_WITNESS,,{4},,0.3826903701;-0.5951969028;1.379149795;-2.398565531;-0.3979498446;-1.568975806;-0.3652310669;-0.2434276789,1,0,7.581692685,1
SUBSET_WITNESS,,{5},,-2.03186965;0.193508774;0.09171002358;1.326399803;-0.6733620167;-0.5280039907;1.210007906;-0.6853591204,1,0,3.432387133,1
SUBSET_WITNESS,,"{0,1}",,-0.4121410549;-0.3380955458;1.227148056;1.104308248;-0.6043707132;0.33373335;-0.0002282813803;0.4692127705,2.758242369,2.467740129,3.060051348,1
SUBSET_WITNESS,,"{0,2}",,-0.6585304737;0.5710517764;0.5465837717;-1.093112588;0.6367303133;0.1028564423;-0.4070199728;-0.5513608456,2.625894308,2.06571354,2.918055934,1
SUBSET_WITNESS,,"{0,3}",,-0.2284976542;1.990739465;-0.2739412189;1.50113833;-0.6485486627;-0.9915985465;-1.462242723;-0.04404626414,4.301254749,4.095695939,5.392929989,1
SUBSET_WITNESS,,"{0,4}",,0.4983454049;-0.9144546986;1.559867263;-1.315106511;-0.05807885528;-0.8957005143;-0.3254113197;-0.3755478859,3.320135117,3.065668666,5.590333379,1
SUBSET_WITNESS,,"{0,5}",,-0.7211073637;-0.06408532709;2.035303116;1.776724458;-0.1946056932;-0.2107720375;0.7633751035;-0.381742537,3.251102686,3.135568554,3.401894541,1
SUBSET_WITNESS,,"{1,2}",,-1.030099034;0.188954398;-1.402939558;0.09259319305;0.5945273638;1.056852341;0.8591881394;0.1380047798,1.847025275,1.601459585,3.231205852,1
SUBSET_WITNESS,,"{1,3}",,-0.8215350509;1.41991508;-0.912781179;1.904877305;-1.595732808;0.4672962725;0.09174233675;0.7133231759,4.564362526,4.338467627,6.086191849,1
SUBSET_WITNESS,,"{1,4}",,-0.3882471919;-0.4097386897;0.9654368162;-1.895611763;-0.9868510962;-0.7305040359;0.1418317258;0.2185164392,3.567327976,2.522188361,3.940116764,1
SUBSET_WITNESS,,"{1,5}",,-1.928569078;-0.3719955087;-0.5116419792;1.205818653;-0.5955334902;0.004380298778;0.9692807794;0.1319124848,1.949805856,1.724412311,2.264509208,1
SUBSET_WITNESS,,"{2,3}",,-1.234381795;1.875553131;-0.6264706254;1.282660604;-1.053260565;-1.204222322;-1.56955862;-0.4411993623,5.589882374,5.401130754,5.998113043,1
SUBSET_WITNESS,,"{2,4}",,-0.6196656227;0.1695646197;1.122642398;-1.639502287;0.2655687332;-1.110196233;-1.014281273;-0.262522161,3.926895857,3.438191666,4.26486293,1
SUBSET_WITNESS,,"{2,5}",,-1.351680517;0.7929853201;-0.388821274;1.616280913;-0.08449668437;-0.1299017668;0.67248106;-1.123955488,2.537551403,2.136554861,3.543269369,1
SUBSET_WITNESS,,"{3,4}",,0.4181802571;1.35283339;-1.375975132;2.321090221;-2.201461315;-0.4067541361;-1.519906163;-0.3312804103,3.600717783,2.859475253,10.66756714,1
SUBSET_WITNESS,,"{3,5}",,-0.5657514334;1.442299128;-0.7391721606;1.572030902;-1.221001744;-1.263146758;-1.314902425;-1.046646953,4.710438728,4.49925563,5.389508754,1
SUBSET_WITNESS,,"{4,5}",,-0.8565407395;-0.08172161877;1.812433124;-1.806513906;-0.2981367111;-0.7266854644;0.0854677707;-0.9798699617,4.83595705,4.451130388,5.522619355,1
SUBSET_WITNESS,,"{0,1,2}",,-0.7572138906;1.212686062;-0.3421386182;-0.1926265657;1.282384872;0.9928637147;-0.8762486577;0.291192621,2.72022438,2.252187363,4.52689292,1
SUBSET_WITNESS,,"{0,1,3}",,-0.2502772808;1.313937426;-0.6194431782;1.771437645;-0.6916761994;-1.056505561;-1.276784301;0.239560321,4.805920601,4.373331061,5.107371986,1
SUBSET_WITNESS,,"{0,1,4}",,-0.05119812489;-0.6055127382;1.530427694;-0.8589188457;0.03741977364;0.06184271351;-0.2099857777;0.00616190955,3.708379269,3.617166782,4.239924569,1
SUBSET_WITNESS,,"{0,1,5}",,-0.7338247299;-0.1936219931;1.82225275;1.798608422;-0.2413578033;-0.8763229251;0.8913131356;0.125435397,4.034063816,3.451964259,4.67241964,1
SUBSET_WITNESS,,"{0,2,3}",,0.02764740027;1.388247371;-0.5722462535;1.632716537;-0.2430865914;-0.9026313424;-1.463510156;-0.116138421,4.670847893,4.450765826,5.640257998,1
SUBSET_WITNESS,,"{0,2,4}",,-0.02841459215;-0.6058387756;0.8744245768;-1.467665553;0.6694051027;-0.5957511663;-0.6759122014;-0.7557156682,3.697170258,3.622386989,5.166364826,1
SUBSET_WITNESS,,"{0,2,5}",,-0.9510336518;1.190021396;0.294351846;1.077952981;1.409261942;-0.5373716354;0.7111748457;-0.6252871752,3.201671839,2.541923889,4.549970545,1
