row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.6708820462;0.5298019052;0.1546805054;1.086833119;-2.208443403;-0.6671799421;0.3193574846;0.6233991385;0.07186280936,,,,,
POINT,1,,0.01306612417;1.694888949;1.527009726;-1.623435259;-0.08601657301;0.3294650912;-0.9891270995;0.2664302289;1.576296568,,,,,
POINT,2,,0.4110408723;1.347436905;-0.1694310158;0.2186207175;0.3766799271;-0.4492067099;1.15297246;1.906640291;-1.169410825,,,,,
POINT,3,,-0.4167782068;-0.1287882775;0.145388931;0.7882387638;0.4268655479;0.4098306298;0.416754216;0.2349591851;-0.6887784004,,,,,
POINT,4,,0.7311050296;0.7389348149;0.02217737585;-1.714817047;-0.4957542121;0.9175142646;-1.368962407;-1.845933437;-0.5606410503,,,,,
POINT,5,,-0.4214651287;-0.2670956254;0.3827914596;-1.394239187;-0.981690526;0.4688203633;1.33153975;-0.6922141314;-0.7124233842,,,,,
POINT,6,,1.675272465;1.300035715;0.576184988;0.6890133023;-1.689799547;0.02599164285;-0.4941574037;-0.6314847469;0.1900122911,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.5539215803;-0.5119643807;2.329648495;0.6149470806;-0.2758834362;-0.2033288628;-1.250564575;-0.1364844143;0.1302143931,1,,,1
SUBSET_WITNESS,,{0},,0.6708820462;0.5298019052;0.1546805054;1.086833119;-2.208443403;-0.6671799421;0.3193574846;0.6233991385;0.07186280936,1,0,2.741915487,1
SUBSET_WITNESS,,{1},,0.01306612417;1.694888949;1.527009726;-1.623435259;-0.08601657301;0.3294650912;-0.9891270995;0.2664302289;1.576296568,1,0,5.453765322,1
SUBSET_WITNESS,,{2},,0.4110408723;1.347436905;-0.1694310158;0.2186207175;0.3766799271;-0.4492067099;1.15297246;1.906640291;-1.169410825,1,0,4.179543101,1
SUBSET_WITNESS,,{3},,-0.4167782068;-0.1287882775;0.145388931;0.7882387638;0.4268655479;0.4098306298;0.416754216;0.2349591851;-0.6887784004,1,0,3.711077037,1
